Individual Components:,,,,,
,,,,,
Item,Qty,Reference(s),Value,Footprint,Datasheet
,,L1,3u3,Inductor_SMD:L_10.4x10.4_H4.8,~
,,R1,47K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R2,47K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R3,47K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R4,75K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R5,100,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R6,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R7,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R8,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R9,10K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R10,33K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R11,1K8,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R12,43K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R13,51K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R14,7K5,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R15,20K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R16,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R17,10,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R18,1K2,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R19,47K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R20,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R21,10K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,SW1,WAKE,Livrary:SW_PUSH_TS_1224W,~
,,SW2,RESET,Livrary:SW_Push_1P1T_Mini4x4x1.5,~
,,SW3,SEL,Livrary:SW_PUSH_TS_1224W,~
,,SW4,SWITCH,Livrary:SW_MSK_01S,~
,,SW5,SWITCH,Livrary:SPDT_Small,~
,,SW6,WAKE,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,~
,,SW7,SEL,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,~
,,U1,DS3231M,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,http://datasheets.maximintegrated.com/en/ds/DS3231.pdf
,,U2,WT32-SC01,Livrary:WS32-SC01-H,
,,U3,DW01x,Package_TO_SOT_SMD:TSOT-23-6,
,,U4,TP4056,Livrary:SOP-8_EP,
,,U5,FP6298,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,
,,U6,FS8205,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,
,,U7,MCP4725-DAC7571,Package_TO_SOT_SMD:SOT-23-6,http://ww1.microchip.com/downloads/en/DeviceDoc/22039d.pdf
,,U8,LM386,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/lm386.pdf
,,U9,TX,Livrary:TX50,
,,U10,DS1307Z+,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://datasheets.maximintegrated.com/en/ds/DS1307.pdf
,,Y1,Crystal,Crystal:Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal_1EP_style2,~
,,,,,
,,,,,
,,,,,
Collated Components:,,,,,
,,,,,
Item,Qty,Reference(s),Value,Footprint,Datasheet
1,1,BT1,Battery_Cell,Livrary:CR1220_SMD,~
2,6,"C1, C3, C4, C11, C14, C19",100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
3,2,"C2, C17",10uF,Capacitor_SMD:CP_Elec_4x4.5,~
4,3,"C5, C13, C15",220uF,Capacitor_SMD:CP_Elec_5x5.3,~
5,2,"C6, C18",220uF,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E_Pad2.25x4.25mm_HandSolder,~
6,3,"C7, C8, C12",100uF,Capacitor_SMD:CP_Elec_5x5.3,~
7,1,C9,470uF,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E,~
8,1,C10,47uF,Capacitor_SMD:CP_Elec_4x4.5,~
9,1,C16,47nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
