,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Individual Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,R14,7K5,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R15,20K,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R16,1K,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R17,10,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R18,1K2,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,R19,47K,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,SW1,WAKE,Switch:SW_Push,Livrary:SW_PUSH_TS_1224W,~
,,SW2,RESET,Switch:SW_Push,Livrary:SW_Push_1P1T_Mini4x4x1.5,~
,,SW3,SEL,Switch:SW_Push,Livrary:SW_PUSH_TS_1224W,~
,,SW4,SWITCH,Switch:SW_SPDT,Livrary:SW_MSK_01S,~
,,SW5,SWITCH,Switch:SW_SPDT,Livrary:SPDT_Small,~
,,SW6,WAKE,Switch:SW_Push,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,~
,,SW7,SEL,Switch:SW_Push,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,~
,,U1,DS3231M,Timer_RTC:DS3231M,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,http://datasheets.maximintegrated.com/en/ds/DS3231.pdf
,,U2,WT32-SC01,custom:WT32-SC01,Livrary:WS32-SC01-H,
,,U3,DW01x,custom:DW01x,Package_TO_SOT_SMD:TSOT-23-6,
,,U4,TP4056,custom:TP4056,Livrary:SOP-8_EP,
,,U5,FP6298,custom:FP6298,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,
,,U6,FS8205,custom:FS8205,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,
,,U7,MCP4725-DAC7571,Analog_DAC:MCP4725xxx-xCH,Package_TO_SOT_SMD:SOT-23-6,http://ww1.microchip.com/downloads/en/DeviceDoc/22039d.pdf
,,U8,LM386,Amplifier_Audio:LM386,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/lm386.pdf
,,,,,,
,,,,,,
,,,,,,
Collated Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,1,BT1,Battery_Cell,Device:Battery_Cell,Livrary:CR1220_SMD,~
2,5,"C1, C3, C4, C11, C14",100nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
3,2,"C2, C17",10uF,Device:C_Polarized,Capacitor_SMD:CP_Elec_4x4.5,~
